utc_ts,utc_dt,spot_usd_price,instrument_name,quote_currency,base_currency,volume,open_interest,type,strike,underlying_price,expiry,time_to_expiry,low,high,last,bid_price,ask_price,mid_price,mark_price,usd_bid,usd_ask,usd_mid,usd_mark,iv_bid,iv_ask,iv_mid,iv_mark,apy_bid,apy_ask,apy_mid,apy_mark,premium
1665515709,2022-10-12 03:15:09,19074.75,BTC-31MAR23-60000-P,BTC,BTC,0.0,11.3,p,60000,19130.26,2023-03-31 08:00:00,0.4662362396956246,,,1.459,,,,2.14161018,,,,40850.67878095499,,,,,,,,4.593401365363873,
1665515709,2022-10-12 03:15:09,19074.75,BTC-31MAR23-65000-P,BTC,BTC,0.0,0.0,p,65000,19130.26,2023-03-31 08:00:00,0.4662362396956246,,,,,,,2.40173904,,,,45812.571753239994,,,,,,,,5.151334957505533,
1665515709,2022-10-12 03:15:09,19074.75,BTC-31MAR23-70000-P,BTC,BTC,0.0,9.1,p,70000,19130.26,2023-03-31 08:00:00,0.4662362396956246,,,0.671,,,,2.66231492,,,,50782.99152027,,,,,,,,5.710227333975696,
1665515709,2022-10-12 03:15:09,19074.75,BTC-31MAR23-80000-P,BTC,BTC,0.0,0.0,p,80000,19130.26,2023-03-31 08:00:00,0.4662362396956246,,,,,,,3.18401435,,,,60734.2777226625,,,,,,,,6.829186748929333,
1665515709,2022-10-12 03:15:09,19074.75,BTC-31MAR23-100000-P,BTC,BTC,0.0,0.0,p,100000,19130.26,2023-03-31 08:00:00,0.4662362396956246,,,,,,,4.22875565,,,,80662.4568348375,,,,,,,,9.069984891694993,
1665515709,2022-10-12 03:15:09,19074.75,BTC-31MAR23-120000-P,BTC,BTC,0.0,0.1,p,120000,19130.26,2023-03-31 08:00:00,0.4662362396956246,,,4.8335,,,,5.27336844,,,,100588.18465088999,,,,,,,,11.310507401661097,
1665515709,2022-10-12 03:15:09,19074.75,BTC-31MAR23-140000-P,BTC,BTC,0.0,0.0,p,140000,19130.26,2023-03-31 08:00:00,0.4662362396956246,,,,,,,6.31858068,,,,120525.34682583,,,,,,,,13.552315633218456,
1665515709,2022-10-12 03:15:09,19074.75,BTC-31MAR23-150000-P,BTC,BTC,0.0,0.0,p,150000,19130.26,2023-03-31 08:00:00,0.4662362396956246,,,,0.008,,,6.8412971,152.598,,,130496.031858225,,,,,0.017158683343068058,,,14.673456324343727,152.598
1665515709,2022-10-12 03:15:09,19074.75,BTC-31MAR23-200000-P,BTC,BTC,0.0,0.0,p,200000,19130.26,2023-03-31 08:00:00,0.4662362396956246,,,,,,,9.45485148,,,,180348.92826813,,,,,,,,20.279100325132294,
1665515709,2022-10-12 03:15:09,19074.75,BTC-31MAR23-250000-P,BTC,BTC,0.0,0.0,p,250000,19130.26,2023-03-31 08:00:00,0.4662362396956246,,,,,,,12.06846651,,,,230202.9815616225,,,,,,,,25.88487441018896,
